,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8456165983590298,0.0,0.0,0.5462226606592251,0.0,0.5708485284933073,0.0,0.0,0.0,0.8294977305563408
3,0.0,0.35288463367779266,0.0,0.1677308383433307,0.90704805072235,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.8219383349057509,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.2808222757240396,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.37881801782060986,0.0,0.0,0.0,0.0
8,0.0,0.4720274228200174,0.0,0.0,0.0,0.0,0.719368868927948,0.0,0.0,0.0
9,0.0,0.0,0.0,0.6896160456728316,0.0,0.0,0.0,0.0,0.0,0.23540444258590265
